origin_id,dest_id,truck_km,truck_duration,drone_km,drone_duration
depot,cust_42,46.9,56.28,39.23,39.23
depot,cust_25,30.58,36.7,25.59,25.59
depot,cust_21,42.54,51.05,27.36,27.36
depot,cust_13,11.4,13.68,8.8,8.8
depot,cust_20,48.38,58.06,27.44,27.44
depot,cust_7,22.62,27.14,13.19,13.19
depot,cust_1,35.15,42.18,19.49,19.49
depot,cust_18,42.41,50.89,23.88,23.88
depot,cust_5,24.31,29.17,13.21,13.21
depot,cust_38,56.33,67.6,38.67,38.67
depot,cust_43,56.64,67.97,47.23,47.23
depot,cust_32,42.05,50.46,28.5,28.5
depot,cust_48,57.05,68.46,41.14,41.14
depot,cust_39,56.48,67.78,43.36,43.36
depot,cust_23,29.56,35.47,23.11,23.11
depot,cust_22,46.82,56.18,32.08,32.08
depot,cust_2,31.38,37.66,16.46,16.46
depot,cust_34,41.01,49.21,24.81,24.81
depot,cust_37,60.45,72.54,42.15,42.15
depot,cust_6,13.69,16.43,8.36,8.36
depot,cust_49,58.49,70.19,43.66,43.66
depot,cust_41,57.61,69.13,46.61,46.61
depot,cust_4,27.86,33.43,17.43,17.43
depot,cust_8,24.1,28.92,17.84,17.84
depot,cust_47,59.97,71.96,41.13,41.13
depot,cust_36,61.68,74.02,43.56,43.56
depot,cust_28,39.5,47.4,30.87,30.87
depot,cust_11,9.98,11.98,8.11,8.11
depot,cust_26,39.81,47.77,34.37,34.37
depot,cust_33,36.53,43.84,23.95,23.95
depot,cust_44,55.85,67.02,45.39,45.39
depot,cust_3,24.25,29.1,10.53,10.53
depot,cust_45,59.44,71.33,44.51,44.51
depot,cust_40,62.63,75.16,49.68,49.68
depot,cust_19,39.61,47.53,23.43,23.43
depot,cust_35,62.87,75.44,38.85,38.85
depot,cust_12,16.96,20.35,9.4,9.4
depot,cust_31,35.04,42.05,25.46,25.46
depot,cust_27,26.87,32.24,23.07,23.07
depot,cust_17,28.83,34.6,15.82,15.82
depot,cust_14,26.26,31.51,16.0,16.0
depot,cust_24,43.5,52.2,31.44,31.44
depot,cust_30,48.47,58.16,29.58,29.58
depot,cust_29,34.86,41.83,28.03,28.03
depot,cust_10,18.46,22.15,15.83,15.83
depot,cust_9,12.38,14.86,9.71,9.71
depot,cust_50,70.27,84.32,40.93,40.93
depot,cust_46,68.0,81.6,47.04,47.04
depot,cust_16,25.8,30.96,16.18,16.18
depot,cust_15,25.67,30.8,14.89,14.89
cust_42,depot,46.9,56.28,39.23,39.23
cust_42,cust_25,17.09,20.51,14.85,14.85
cust_42,cust_21,65.43,78.52,49.96,49.96
cust_42,cust_13,52.04,62.45,40.67,40.67
cust_42,cust_20,72.9,87.48,58.42,58.42
cust_42,cust_7,37.21,44.65,29.28,29.28
cust_42,cust_1,75.79,90.95,57.98,57.98
cust_42,cust_18,83.05,99.66,62.59,62.59
cust_42,cust_5,50.72,60.86,38.93,38.93
cust_42,cust_38,76.34,91.61,60.95,60.95
cust_42,cust_43,23.5,28.2,18.15,18.15
cust_42,cust_32,82.69,99.23,63.85,63.85
cust_42,cust_48,114.07,136.88,71.48,71.48
cust_42,cust_39,55.47,66.56,46.19,46.19
cust_42,cust_23,44.48,53.38,35.07,35.07
cust_42,cust_22,60.15,72.18,48.11,48.11
cust_42,cust_2,66.19,79.43,53.27,53.27
cust_42,cust_34,81.65,97.98,64.03,64.03
cust_42,cust_37,82.87,99.44,66.76,66.76
cust_42,cust_6,45.57,54.68,35.47,35.47
cust_42,cust_49,99.13,118.96,81.62,81.62
cust_42,cust_41,20.41,24.49,17.44,17.44
cust_42,cust_4,57.1,68.52,43.52,43.52
