origin_id,dest_id,truck_km,truck_duration,drone_km,drone_duration
depot,cust_3,,,13.25,13.25
depot,cust_4,,,13.85,13.85
depot,cust_2,,,13.35,13.35
depot,cust_5,,,17.02,17.02
depot,cust_1,,,12.35,12.35
cust_3,depot,,,13.25,13.25
cust_3,cust_4,21.15,25.38,15.5,15.5
cust_3,cust_2,33.86,40.63,16.4,16.4
cust_3,cust_5,43.39,52.07,28.82,28.82
cust_3,cust_1,,,24.18,24.18
cust_4,depot,,,13.85,13.85
cust_4,cust_3,21.15,25.38,15.5,15.5
cust_4,cust_2,36.6,43.92,26.01,26.01
cust_4,cust_5,25.47,30.56,18.81,18.81
cust_4,cust_1,,,25.23,25.23
cust_2,depot,,,13.35,13.35
cust_2,cust_3,33.86,40.63,16.4,16.4
cust_2,cust_4,36.6,43.92,26.01,26.01
cust_2,cust_5,37.21,44.65,28.55,28.55
cust_2,cust_1,,,13.91,13.91
cust_5,depot,,,17.02,17.02
cust_5,cust_3,43.39,52.07,28.82,28.82
cust_5,cust_4,25.47,30.56,18.81,18.81
cust_5,cust_2,37.21,44.65,28.55,28.55
cust_5,cust_1,,,18.15,18.15
cust_1,depot,,,12.35,12.35
cust_1,cust_3,,,24.18,24.18
cust_1,cust_4,,,25.23,25.23
cust_1,cust_2,,,13.91,13.91
cust_1,cust_5,,,18.15,18.15
